Country,Happiness Score,Economy,SocialSupport,Health,Freedom,Generosity,GovernmentTrust
Bolivia,5.716,0.842,0.782,0.486,0.6,0.138,0.064
Mongolia,5.677,0.966,1.065,0.442,0.397,0.263,0.053
Paraguay,5.653,0.983,0.97,0.549,0.602,0.206,0.037
Montenegro,5.581,1.155,0.891,0.637,0.397,0.166,0.081
Dominican Republic,5.545,1.106,0.879,0.555,0.581,0.101,0.144
Northern Cyprus,5.536,1.377,0.806,0.801,0.503,0.196,0.2
Belarus,5.534,1.124,1.007,0.56,0.326,0.07,0.199
Russia,5.477,1.241,0.992,0.511,0.409,0.115,0.06
Hong Kong,5.477,1.525,0.841,0.893,0.408,0.232,0.342
Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152,0.247
Vietnam,5.411,0.817,0.873,0.616,0.679,0.124,0.091
Libya,5.41,1.044,0.821,0.435,0.474,0.131,0.174
Malaysia,5.384,1.259,0.797,0.587,0.624,0.27,0.064
Indonesia,5.345,0.954,0.786,0.433,0.598,0.541,0.046
Congo (Brazzaville),5.342,0.518,0.392,0.307,0.381,0.144,0.124
China,5.339,1.061,0.785,0.665,0.636,0.093,0.117
Ivory Coast,5.306,0.669,0.409,0.052,0.438,0.177,0.092
Armenia,5.283,0.996,0.758,0.585,0.54,0.079,0.198
Nepal,5.269,0.519,0.702,0.496,0.488,0.287,0.135
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005
Maldives,5.198,1.115,1.015,0.697,0.575,0.204,0.073
Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043,0.276
Cameroon,5.142,0.543,0.556,0.159,0.425,0.205,0.058
Senegal,5.132,0.518,0.558,0.357,0.381,0.158,0.088
Albania,5.117,1.008,0.529,0.646,0.491,0.168,0.024
North Macedonia,5.101,1.068,0.772,0.535,0.45,0.212,0.022
Ghana,5.088,0.68,0.595,0.287,0.517,0.268,0.058
Niger,5.074,0.162,0.402,0.167,0.516,0.2,0.157
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033
Gambia,5.051,0.367,0.511,0.21,0.384,0.465,0.123
Benin,5.045,0.507,0.058,0.196,0.457,0.166,0.178
Laos,5.03,0.808,0.598,0.33,0.643,0.268,0.179
Bangladesh,5.025,0.635,0.52,0.514,0.603,0.161,0.164
Guinea,4.984,0.42,0.399,0.206,0.384,0.25,0.111
South Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051
Turkey,4.948,1.26,0.809,0.59,0.236,0.097,0.104
Pakistan,4.934,0.637,0.423,0.322,0.418,0.252,0.097
Morocco,4.918,0.792,0.219,0.558,0.477,0.034,0.088
Venezuela,4.892,0.852,0.897,0.574,0.284,0.078,0.072
Georgia,4.891,1.03,0.47,0.498,0.488,0.032,0.181
Algeria,4.887,0.946,0.765,0.552,0.119,0.144,0.12
Ukraine,4.875,0.979,0.958,0.517,0.417,0.181,0.01
Iraq,4.854,0.91,0.638,0.381,0.302,0.153,0.041
Gabon,4.852,1.037,0.707,0.362,0.424,0.058,0.064
Burkina Faso,4.834,0.364,0.472,0.179,0.381,0.182,0.122
Cambodia,4.83,0.603,0.68,0.426,0.702,0.21,0.061
Mozambique,4.794,0.183,0.634,0.196,0.608,0.228,0.163
Nigeria,4.759,0.663,0.625,0.051,0.433,0.212,0.039
Mali,4.723,0.387,0.59,0.11,0.384,0.164,0.072
Iran,4.721,1.03,0.557,0.561,0.275,0.33,0.144
Uganda,4.636,0.364,0.718,0.24,0.398,0.267,0.054
Liberia,4.625,0.228,0.58,0.253,0.43,0.221,0.057
Kenya,4.607,0.603,0.508,0.385,0.483,0.375,0.073
Tunisia,4.596,0.919,0.515,0.59,0.334,0.057,0.044
Lebanon,4.584,1.045,0.868,0.595,0.175,0.14,0.026
Namibia,4.574,0.882,0.801,0.262,0.411,0.091,0.059
Palestinian Territories,4.517,0.646,0.819,0.434,0.33,0.082,0.075
Myanmar,4.426,0.666,0.713,0.341,0.601,0.52,0.178
Jordan,4.395,0.89,0.685,0.583,0.455,0.079,0.15
Chad,4.355,0.255,0.353,0.0,0.24,0.215,0.084
Sri Lanka,4.325,0.99,0.82,0.593,0.559,0.239,0.049
Swaziland,4.308,0.849,0.693,0.074,0.323,0.067,0.147
Comoros,4.289,0.488,0.367,0.279,0.202,0.241,0.101
Egypt,4.283,0.954,0.647,0.426,0.446,0.069,0.092
Ethiopia,4.275,0.37,0.679,0.331,0.451,0.241,0.114
Mauritania,4.227,0.666,0.749,0.273,0.218,0.119,0.133
Madagascar,4.208,0.266,0.503,0.341,0.207,0.185,0.087
Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107
Zambia,4.073,0.528,0.552,0.231,0.487,0.227,0.074
Sierra Leone,3.849,0.279,0.377,0.1,0.408,0.243,0.047
India,3.819,0.741,0.316,0.383,0.622,0.246,0.106
Burundi,3.775,0.0,0.062,0.155,0.298,0.172,0.212
Yemen,3.658,0.329,0.831,0.272,0.268,0.092,0.089
Tanzania,3.623,0.433,0.54,0.3,0.549,0.307,0.231
Haiti,3.615,0.294,0.173,0.227,0.257,0.463,0.139
Malawi,3.6,0.113,0.168,0.298,0.484,0.213,0.134
Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015
Botswana,3.467,1.099,0.724,0.34,0.539,0.027,0.088
Rwanda,3.415,0.364,0.202,0.407,0.627,0.227,0.493
Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075
Afghanistan,2.523,0.37,0.0,0.126,0.0,0.122,0.01
